planner,scenario,query_id,run,seed,success,planning_time_s,solve_time_s,error,num_waypoints,joint_path_length,cartesian_path_length,smoothness_geom,smoothness_jerk,clearance,path_valid
moveit:RRTstar,empty,6,0,42,True,10.005305430997396,10.005305430997396,,24,6.142597354812801,0.9709349823903073,7.042265121291962e-13,1247.7238950966953,inf,True
moveit:RRTstar,empty,6,1,42,True,10.005238413999905,10.005238413999905,,24,6.142597354812801,0.9709349823903072,5.400073988960007e-13,1247.7238950967032,inf,True
moveit:RRTstar,empty,6,2,42,True,10.006628016999457,10.006628016999457,,24,6.142597354812801,0.9709349823903075,4.0986545033437145e-13,1247.7238950966955,inf,True
moveit:RRTstar,empty,7,0,42,True,10.009033451002324,10.009033451002324,,20,6.539193582730879,1.9848695987543645,1.303618945272241e-11,1249.984103179403,inf,True
moveit:RRTstar,empty,7,1,42,True,10.009403685005964,10.009403685005964,,20,6.539193582730879,1.984869598754365,8.967605608253451e-12,1249.9841031794265,inf,True
moveit:RRTstar,empty,7,2,42,True,10.010679633007385,10.010679633007385,,20,6.539193582730879,1.9848695987543648,1.1837151308987815e-11,1249.984103179421,inf,True
moveit:RRTstar,empty,8,0,42,True,10.008055365993641,10.008055365993641,,23,5.545140581464355,0.9096454046501491,5.5329300044269955e-14,664.0275057988973,inf,True
moveit:RRTstar,empty,8,1,42,True,10.004716533003375,10.004716533003375,,23,5.545140581464355,0.9096454046501493,1.2073760154731305e-13,664.027505798901,inf,True
moveit:RRTstar,empty,8,2,42,True,10.00387870099803,10.00387870099803,,23,5.545140581464354,0.9096454046501491,1.5368848139129266e-14,664.0275057988999,inf,True
moveit:RRTstar,empty,9,0,42,True,10.016919120011153,10.016919120011153,,25,7.530669704580591,2.5529921479026143,1.0824722181628603e-12,1472.8471170413402,inf,True
moveit:RRTstar,empty,9,1,42,True,10.007869173001382,10.007869173001382,,25,7.530669704580591,2.5529921479026143,3.117374711282498e-12,1472.8471170413384,inf,True
moveit:RRTstar,empty,9,2,42,True,10.0083345049934,10.0083345049934,,25,7.530669704580591,2.5529921479026143,3.6330428592345495e-12,1472.8471170413707,inf,True
straightline,empty,0,0,42,True,0.0001,0.0001,,30,6.5463218617353425,3.3479699934096314,4.7932954494695395e-14,1.184734756969354e-23,inf,True
straightline,empty,0,1,42,True,0.0001,0.0001,,30,6.5463218617353425,3.3479699934096314,4.7932954494695395e-14,1.184734756969354e-23,inf,True
